Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6470.500000000001,77646.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),s3,S3 Standard,0,1150,13800.00,USD,,S3 Standard storage (50000 GB per month)
My Estimate,US East (Ohio),s3,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1905.4,22864.80,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,VPN Connection,0,603.5,7242.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,482.85,5794.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,441.65000000000003,5299.80,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,854.1,10249.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m5.2xlarge), Pricing strategy (Compute Savings Plans 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,850,10200.00,USD,,Data transfer out to internet (10000 GB per month)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
"EC2 - change from dedicated instances to shared instances"
